longitude;latitude;shopDescription;sunusng;ipom;weiwei
-1.51815;43.49507;[Orange] 64 Anglet (Avenue Belle Marion);5;7;10
-1.42988;46.66976;[Orange] 85 La Roche-sur-Yon (15 Rue Georges Clémenceau);3;3;2
-1.43024;46.69141;[Orange] 85 La Roche-sur-Yon (CC Les Flaneries);5;9;5
-1.54907;47.16152;[Orange] 44 Rezé (10 rond-point Corbinerie ,CC Océane);8;4;8
-1.46916;47.18722;[Orange] 44 Basse-Goulaine (CC Leclerc Pôle Sud);0;4;5
-1.49383;47.19164;[Orange] 44 Saint-Sébastien-sur-Loire (CC Auchan);9;2;1
-1.57205;47.19424;[Orange] 44 Rezé (CC Leclerc Atout Sud ,1 Rue Ordronneau);10;6;3
-1.53510;47.20456;[Orange] 44 Nantes (6 Rue du Dr Zamenhoff ,CC Beaulieu);10;3;10
-1.55925;47.21496;[Orange] 44 Nantes (14 Rue de la Contrescarpe);2;8;8
-3.16566;48.56226;[Orange] 22 Guingamp;5;4;1
-1.55471;47.21563;[Orange] 44 Nantes (28 Rue de la Marne ,Quartier Decré);2;10;10
-1.63044;47.22492;[Orange] 44 Saint-Herblain (CC Atlantis);2;6;9
-1.51842;47.25076;[Orange] 44 Nantes (14 Route de Paris ,CC Paridis);6;5;3
-2.26452;47.25845;[Orange] 44 Saint-Nazaire (CC Géant Océanis);8;5;10
-2.21331;47.27441;[Orange nv] 44 Saint-Nazaire (2 Avenue de la République);7;0;3
-2.39138;47.28597;[Orange] 44 La Baule-Escoublac (128 Avenue du Général de Gaulle);2;0;8
-2.20884;47.30136;[Orange] 44 Trignac (CC Auchan);9;3;8
-2.42696;47.32693;[Orange] 44 Guérande (Place du Marhallé);10;10;7
-2.08496;47.64874;[Orange] 35 Redon (50 Grande-Rue);2;1;3
-2.76058;47.65561;[Orange] 56 Vannes (15 Place de la République);4;5;4
-2.79326;47.66015;[Orange] 56 Vannes (CC Carrefour);3;10;4
-2.98680;47.66730;[Orange] 56 Auray (10 Rue du Maréchal Foch);10;9;1
-2.79373;47.66736;[Orange] 56 Vannes (CC Leclerc);8;6;2
-1.37718;47.71792;[Orange] 44 Châteaubriant (5 Place de la Motte);0;3;1
-3.36336;47.74834;[Orange] 56 Lorient (13 Place Aritstide Briand);3;10;5
-3.39713;47.76576;[Orange] 56 Lorient (CC Carrefour);5;3;1
-0.36795;43.29456;[Orange] 64 Pau (Rue Louis Barthou);6;9;5
-1.05382;43.70975;[Orange nv] 40 Dax (38 Rue des Carmes);7;5;7
-0.58472;44.83872;[Orange] 33 Bordeaux (CC Mériadeck);2;6;1
-0.57845;44.84174;[Orange] 33 Bordeaux (52 Cours de l'Intendance);5;1;1
-0.22136;44.90157;[Orange] 33 Libourne (CC Carrefour ,102 Avenue Général de Gaulle);9;9;2
-0.24219;44.91571;[Orange] 33 Libourne (58 Rue Gambetta);3;7;0
-1.02735;45.62466;[Orange] 17 Royan (8 bis Boulevard de la République);3;5;0
-0.32633;45.69420;[Orange] 16 Cognac (29 Rue d’Angoulême);2;8;9
-0.63267;45.74576;[Orange] 17 Saintes (22 Rue d’Alsace-Lorraine);9;3;3
-0.96144;45.93549;[Orange] 17 Rochefort (53 Avenue Charles de Gaulle);1;3;6
-1.15074;46.16116;[Orange] 17 La Rochelle (31 Rue Saint-Yon);0;7;9
-1.11774;46.17372;[Orange] 17 Puilboreau (CC Carrefour ,ZA de Beaulieu);8;2;6
-0.46229;46.32487;[Orange] 79 Niort (26 Rue Victor Hugo);2;6;9
-0.80670;46.46630;[Orange nv] 85 Fontenay-le-Comte (12 Rue Georges Clémenceau);7;0;7
-0.24949;46.64810;[Orange] 79 Parthenay (38 Rue Jean Jaurès);8;3;3
-0.49274;46.83925;[Orange] 79 Bressuire (23 Rue de la Huchette);3;7;10
-1.01455;46.87096;[Orange nv] 85 Les Herbiers (17 Rue de l’Eglise);5;4;5
-0.90116;47.04227;[Orange] 49 Cholet (CC Géant ,Route des Sables d’O.);0;2;1
-0.87739;47.06253;[Orange] 49 Cholet (Place Alexis Guérineau);3;4;7
-0.07864;47.25827;[Orange] 49 Saumur (35 Rue du Portail Louis);9;7;2
-0.52473;47.46725;[Orange] 49 Angers (CC Espace Anjou ,75 Rue Montaigne);8;1;8
-0.59538;47.46833;[Orange] 49 Angers (CC Carrefour Grand-Maine);4;10;10
-0.55445;47.47214;[Orange] 49 Angers (CC Fleur d’Eau ,Rue Plantagenêt);4;0;5
-0.55046;47.47277;[Orange] 49 Angers (10 bis Rue Lenepveu);1;3;10
-0.54232;47.48910;[Orange] 49 Angers (CC Carrefour Saint-Serge);2;2;4
-0.07385;47.69941;[Orange] 72 La Flèche (28 Grande-Rue);6;1;5
-4.52669;48.38848;[Orange] 29 Brest (CC Carrefour Iroise);9;0;6
-4.48905;48.38817;[Orange] 29 Brest (64 Rue de Siam);1;3;4
-4.48770;48.38911;[Orange] 29 Brest (95 Rue de Siam);3;10;6
-4.48241;48.39280;[Orange] 29 Brest (Rue Dupleix);9;6;7
-4.48174;48.39294;[Orange] 29 Brest (Rue Jean Jaurès);1;6;8
-4.46627;48.40760;[Orange] 29 Brest (CC Géant ,29 Route Gouesnou);1;1;0
-4.32743;48.09396;[Orange] 29 Douarnenez (25 Rue Voltaire);3;2;4
-4.32301;48.57334;[Orange] 29 Lesneven (1 Rue de Jérusalem);1;3;5
-4.24799;48.45140;[Orange] 29 Landerneau (6 Rue de la Tour d'Auvergne);8;10;5
-4.22160;47.86500;[Orange] 29 Pont-l'Abbé (10 Rue Jean Jacques Rousseau);5;4;5
-4.10525;47.99623;[Orange] 29 Quimper (46 Rue de Kéréon);5;3;10
-4.10309;47.99614;[Orange] 29 Quimper (26 Place Saint-Corentin);4;7;8
-4.09288;47.97566;[Orange] 29 Quimper (CC Géant Cornouaille ,163 Route de Bénodet);6;2;0
-4.08128;48.01498;[Orange] 29 Quimper (CC Gourvily);9;10;8
-4.07054;48.50978;[Orange] 29 Landivisiau;2;5;0
-3.82825;48.57815;[Orange] 29 Morlaix (8 Place des Otages);2;6;5
-3.91796;47.87188;[Orange] 29 Concarneau (2 Place Jean Jaurès);0;0;10
-3.85191;48.57439;[Orange] 29 Saint-Martin-des-Champs (CC Géant Bretagnia);1;2;9
-3.57016;48.27702;[Orange] 29 Carhaix-Plouguer (Place du Champ de Foire);4;0;6
-3.34343;47.77556;[Orange] 56 Lanester (CC Géant);6;9;5
-3.14917;48.56153;[Orange] 22 Guingamp (10 Place du Champ au Roy);3;4;0
-2.96570;48.06652;[Orange] 56 Pontivy (46 Rue Nationale);1;9;9
-2.72855;48.49653;[Orange nv] 22 Langueux (1 Rue Jules Verne);5;10;6
-2.39831;47.93103;[Orange] 56 Ploërmel (Rue du Général Dubreton);0;9;7
-2.04863;48.45374;[Orange] 22 Dinan (2 Rue Châteaubriand);2;5;5
-0.77394;48.07069;[Orange] 53 Laval (5 Avenue du Général de Gaulle);7;8;1
-0.79960;48.07934;[Orange] 53 Laval (CC Grenoux ,Boulevard de Tassigny);1;0;8
-1.67791;48.08253;[Orange] 35 Rennes (CC Alma ,Rue du Bosphore);4;7;5
-1.67945;48.10465;[Orange] 35 Rennes (40 Place du Colombier);4;7;3
-1.67796;48.10986;[Orange nv] 35 Rennes (Place de la République);2;5;10
-1.58947;48.11220;[Orange] 35 Cesson-Sévigné (CC Carrefour La Rigoudière);3;2;8
-1.67946;48.11331;[Orange] 35 Rennes (9 Rue Bastard);8;0;8
-1.20714;48.11484;[Orange] 35 Vitré (CC Leclerc ,Rue du Mée);0;2;4
-1.69580;48.13841;[Orange] 35 Rennes (CC Géant Grand-Quartier);9;5;1
-1.76676;48.13900;[Orange] 35 Pacé (CC Cora ,ZA de la Giraudais);1;1;6
-0.62209;48.30347;[Orange nv] 53 Mayenne (40 Place Gambetta);2;1;10
-1.18218;48.34660;[Orange] 35 Fougères (CC Carrefour ,39 Boulevard Grolay);9;1;8
-1.99573;48.62401;[Orange nv] 35 Saint-Malo (CC La Madeleine);9;5;2
-1.36046;48.68554;[Orange] 50 Avranches (17 Rue de la Constitution);10;8;2
-0.02044;48.74427;[Orange] 61 Argentan (36 Rue de la Chaussée);6;0;7
-0.56827;48.74850;[Orange] 61 Flers (5 Rue de Messei);2;8;10
-1.59457;48.83728;[Orange] 50 Granville (57 Rue Couraye);4;2;4
-0.89077;48.83818;[Orange] 14 Vire (16 Rue de la Saulnerie);9;7;9
